,song,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
174,Mother,UMI,0.366,0.452,1,-11.88,1,0.197,0.823,0.000126,0.0633,0.119,168.642,audio_features,51WLu8FjR1tiyIU1jUoWvm,spotify:track:51WLu8FjR1tiyIU1jUoWvm,https://api.spotify.com/v1/tracks/51WLu8FjR1tiyIU1jUoWvm,https://api.spotify.com/v1/audio-analysis/51WLu8FjR1tiyIU1jUoWvm,189012,4
175,Wrong Places (from Songland),H.E.R.,0.548,0.457,4,-7.626,1,0.0691,0.224,8.32e-05,0.11,0.494,175.659,audio_features,2mtLGVN6xZm93wDG9nvviS,spotify:track:2mtLGVN6xZm93wDG9nvviS,https://api.spotify.com/v1/tracks/2mtLGVN6xZm93wDG9nvviS,https://api.spotify.com/v1/audio-analysis/2mtLGVN6xZm93wDG9nvviS,197727,4
176,Excited,Ant Clemons,0.469,0.653,1,-7.25,0,0.393,0.141,0.0,0.111,0.422,89.716,audio_features,5nAkJ0CWpvGRf3MbOpwSfl,spotify:track:5nAkJ0CWpvGRf3MbOpwSfl,https://api.spotify.com/v1/tracks/5nAkJ0CWpvGRf3MbOpwSfl,https://api.spotify.com/v1/audio-analysis/5nAkJ0CWpvGRf3MbOpwSfl,170227,4
177,Chasing Amy,TeaMarrr,0.723,0.558,11,-6.914,0,0.541,0.232,0.0,0.0981,0.374,109.515,audio_features,3KSQ1BjRT0T4dnu6Z7UL8c,spotify:track:3KSQ1BjRT0T4dnu6Z7UL8c,https://api.spotify.com/v1/tracks/3KSQ1BjRT0T4dnu6Z7UL8c,https://api.spotify.com/v1/audio-analysis/3KSQ1BjRT0T4dnu6Z7UL8c,248905,4
178,More Than Enough,Alina Baraz,0.648,0.531,2,-5.886,0,0.0345,0.26,0.000897,0.12,0.253,143.008,audio_features,1NjQZi2ajwmJsfnimLr41I,spotify:track:1NjQZi2ajwmJsfnimLr41I,https://api.spotify.com/v1/tracks/1NjQZi2ajwmJsfnimLr41I,https://api.spotify.com/v1/audio-analysis/1NjQZi2ajwmJsfnimLr41I,151462,4
179,SPLIT DECISION,PARTYNEXTDOOR,0.38,0.281,1,-13.104,0,0.169,0.847,0.000875,0.105,0.265,182.022,audio_features,4Rv5fDPvbbX0lNr3umOZSz,spotify:track:4Rv5fDPvbbX0lNr3umOZSz,https://api.spotify.com/v1/tracks/4Rv5fDPvbbX0lNr3umOZSz,https://api.spotify.com/v1/audio-analysis/4Rv5fDPvbbX0lNr3umOZSz,186340,4
180,Don't Wanna Leave,Jacob Latimore,0.612,0.611,2,-7.068,1,0.0671,0.00425,0.0,0.11,0.167,77.336,audio_features,4vpoINvcoAdmttZwDTUTJU,spotify:track:4vpoINvcoAdmttZwDTUTJU,https://api.spotify.com/v1/tracks/4vpoINvcoAdmttZwDTUTJU,https://api.spotify.com/v1/audio-analysis/4vpoINvcoAdmttZwDTUTJU,186000,4
181,Find A Place,Trey Songz,0.545,0.714,0,-4.007,0,0.0928,0.309,0.0,0.136,0.308,87.005,audio_features,3v0nyTIvIf6EY5onDSSpaW,spotify:track:3v0nyTIvIf6EY5onDSSpaW,https://api.spotify.com/v1/tracks/3v0nyTIvIf6EY5onDSSpaW,https://api.spotify.com/v1/audio-analysis/3v0nyTIvIf6EY5onDSSpaW,236297,4
182,Plan B,Ro James,0.601,0.494,5,-7.11,1,0.0467,0.487,3.81e-06,0.35,0.36,100.936,audio_features,3hVNd9t2dPCEcDqNE149YK,spotify:track:3hVNd9t2dPCEcDqNE149YK,https://api.spotify.com/v1/tracks/3hVNd9t2dPCEcDqNE149YK,https://api.spotify.com/v1/audio-analysis/3hVNd9t2dPCEcDqNE149YK,183030,4
183,Perfect,Tank,0.642,0.373,0,-7.111,0,0.0329,0.917,0.0,0.103,0.341,105.253,audio_features,38NA9ujv5cUKOTy82FSWLK,spotify:track:38NA9ujv5cUKOTy82FSWLK,https://api.spotify.com/v1/tracks/38NA9ujv5cUKOTy82FSWLK,https://api.spotify.com/v1/audio-analysis/38NA9ujv5cUKOTy82FSWLK,249118,4
184,Forever Mine,Robin Thicke,0.42,0.258,2,-16.526,0,0.0372,0.532,0.0464,0.0885,0.136,174.235,audio_features,7DyNkaa7Anl8P4E6ftIWr7,spotify:track:7DyNkaa7Anl8P4E6ftIWr7,https://api.spotify.com/v1/tracks/7DyNkaa7Anl8P4E6ftIWr7,https://api.spotify.com/v1/audio-analysis/7DyNkaa7Anl8P4E6ftIWr7,185130,3
185,17,Pink Sweat$,0.558,0.364,5,-8.663,1,0.0501,0.169,0.000101,0.109,0.252,129.174,audio_features,034KyQEk7IhbLtniVhBErj,spotify:track:034KyQEk7IhbLtniVhBErj,https://api.spotify.com/v1/tracks/034KyQEk7IhbLtniVhBErj,https://api.spotify.com/v1/audio-analysis/034KyQEk7IhbLtniVhBErj,160737,4
186,EmOGs,Salaam Remi,0.485,0.629,6,-6.253,0,0.348,0.0728,1.2e-05,0.0951,0.448,163.528,audio_features,2qz1vGLzlQf0Xc2dlfhOEA,spotify:track:2qz1vGLzlQf0Xc2dlfhOEA,https://api.spotify.com/v1/tracks/2qz1vGLzlQf0Xc2dlfhOEA,https://api.spotify.com/v1/audio-analysis/2qz1vGLzlQf0Xc2dlfhOEA,257973,1
187,This Woman's Work,Zacari,0.716,0.598,0,-6.216,0,0.0395,0.304,1.33e-05,0.372,0.557,110.015,audio_features,6vGAqz66gJtaZWDAP5aszQ,spotify:track:6vGAqz66gJtaZWDAP5aszQ,https://api.spotify.com/v1/tracks/6vGAqz66gJtaZWDAP5aszQ,https://api.spotify.com/v1/audio-analysis/6vGAqz66gJtaZWDAP5aszQ,230455,4
188,Flaws and All,Ebenezer,0.762,0.476,8,-10.51,0,0.0668,0.217,0.0,0.123,0.472,145.962,audio_features,7xnUkSlGHyOBgcJxnh8Iyw,spotify:track:7xnUkSlGHyOBgcJxnh8Iyw,https://api.spotify.com/v1/tracks/7xnUkSlGHyOBgcJxnh8Iyw,https://api.spotify.com/v1/audio-analysis/7xnUkSlGHyOBgcJxnh8Iyw,204634,4
189,Second Chances. (ft. 6LACK),Kiana Ledé,0.501,0.349,3,-10.883,0,0.391,0.786,0.0,0.107,0.322,72.855,audio_features,6t5MVzUCfeK1ASDMkKadxW,spotify:track:6t5MVzUCfeK1ASDMkKadxW,https://api.spotify.com/v1/tracks/6t5MVzUCfeK1ASDMkKadxW,https://api.spotify.com/v1/audio-analysis/6t5MVzUCfeK1ASDMkKadxW,192120,4
190,FAVORITE MISTAKE,Giveon,0.535,0.409,7,-9.517,0,0.0857,0.777,0.0,0.129,0.138,170.121,audio_features,4rHIfYRQw6ittRQXAlurk0,spotify:track:4rHIfYRQw6ittRQXAlurk0,https://api.spotify.com/v1/tracks/4rHIfYRQw6ittRQXAlurk0,https://api.spotify.com/v1/audio-analysis/4rHIfYRQw6ittRQXAlurk0,172907,4
